Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,70.570000,76.000000,53.152500,63.572498,62.333183,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,72.018112,3265299200
2020-05-01,71.562500,81.059998,71.462502,79.485001,77.935486,2805936000
2020-06-01,79.437500,93.095001,79.302498,91.199997,89.664169,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,104.470558,3020283200
2020-08-01,108.199997,131.000000,107.892502,129.039993,126.866913,4070061100
2020-09-01,132.759995,137.979996,103.099998,115.809998,114.065018,3885245100
2020-10-01,117.639999,125.389999,107.720001,108.860001,107.219742,2894666500
2020-11-01,109.110001,121.989998,107.320000,119.050003,117.256203,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,130.916138,2322189600
2021-01-01,133.520004,145.089996,126.379997,131.960007,130.195923,2240262000
2021-02-01,133.750000,137.880005,118.389999,121.260002,119.638954,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,120.697144,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.896393,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,123.127884,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.560867,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,144.369949,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,150.278946,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,140.264328,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,148.491837,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.856491,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,176.276245,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,173.506546,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.916931,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,173.558640,2180800100
